epoch,accuracy
0,0.396500
1,0.380000
2,0.484600
3,0.496600
4,0.509000
5,0.566000
6,0.602400
7,0.610800
8,0.649100
9,0.667900
10,0.650100
11,0.674800
12,0.694800
13,0.673600
14,0.657600
15,0.706500
16,0.722200
17,0.737900
18,0.752600
19,0.764700
20,0.758900
21,0.764900
22,0.773900
23,0.782400
24,0.798800
25,0.782100
26,0.779200
27,0.794900
28,0.793900
29,0.770000
30,0.812900
31,0.796100
32,0.792000
33,0.778700
34,0.806400
35,0.800500
36,0.814000
37,0.811900
38,0.798800
39,0.816200
40,0.807700
41,0.821700
42,0.826800
43,0.803100
44,0.823600
45,0.828000
46,0.828200
47,0.829500
48,0.840100
49,0.808900
50,0.830000
51,0.814600
52,0.805600
53,0.809300
54,0.762300
55,0.818500
56,0.809600
57,0.832200
58,0.838300
59,0.824000
60,0.830100
61,0.842100
62,0.831700
63,0.828500
64,0.826300
65,0.825400
66,0.821600
67,0.807000
68,0.827400
69,0.830800
70,0.836500
71,0.840000
72,0.823600
73,0.825500
74,0.857900
75,0.842800
76,0.834200
77,0.837600
78,0.840100
79,0.831400
80,0.849000
81,0.809600
82,0.828800
83,0.839300
84,0.826900
85,0.836800
86,0.492600
87,0.833900
88,0.841100
89,0.847000
90,0.859100
91,0.840600
92,0.848700
93,0.821900
94,0.847000
95,0.849500
96,0.841400
97,0.838100
98,0.837200
99,0.834000
100,0.832400
101,0.847900
102,0.844500
103,0.856800
104,0.844200
105,0.855700
106,0.845100
107,0.832400
108,0.847500
109,0.827300
110,0.806200
111,0.849100
112,0.856500
113,0.833000
114,0.854200
115,0.841800
116,0.852100
117,0.853100
118,0.851500
119,0.840600
120,0.826300
121,0.834800
122,0.840400
123,0.848300
124,0.846200
125,0.839000
126,0.828000
127,0.853700
128,0.833000
129,0.833700
130,0.845900
131,0.831200
132,0.853900
133,0.834000
134,0.849400
135,0.842400
136,0.849200
137,0.825300
138,0.853800
139,0.859800
140,0.860000
141,0.852100
142,0.858800
143,0.832900
144,0.843900
145,0.848800
146,0.847800
147,0.842400
148,0.855400
149,0.849300
150,0.860400
151,0.902200
152,0.904700
153,0.905100
154,0.907200
155,0.907700
156,0.909300
157,0.910700
158,0.909500
159,0.908600
160,0.909900
161,0.909400
162,0.908200
163,0.908000
164,0.907100
165,0.908500
166,0.907600
167,0.907900
168,0.908100
169,0.910300
170,0.911300
171,0.908000
172,0.908300
173,0.909300
174,0.906800
175,0.908500
176,0.908600
177,0.909500
178,0.904700
179,0.906300
180,0.905800
181,0.905200
182,0.904900
183,0.907000
184,0.906100
185,0.906100
186,0.905800
187,0.904600
188,0.906800
189,0.906900
190,0.906400
191,0.908100
192,0.905300
193,0.905400
194,0.904100
195,0.904900
196,0.905500
197,0.908000
198,0.905400
199,0.907400
200,0.906000
201,0.905000
202,0.908000
203,0.902200
204,0.902600
205,0.902400
206,0.903000
207,0.906000
208,0.902000
209,0.904800
210,0.901900
211,0.900200
212,0.900100
213,0.900600
214,0.903400
215,0.900800
216,0.901700
217,0.900500
218,0.900100
219,0.899600
220,0.901300
221,0.900800
222,0.897100
223,0.901400
224,0.901700
225,0.897600
226,0.898500
227,0.902600
228,0.895300
229,0.898200
230,0.899100
231,0.897700
232,0.902600
233,0.894600
234,0.902000
235,0.898700
236,0.899900
237,0.902500
238,0.902500
239,0.902600
240,0.902600
241,0.897500
242,0.904800
243,0.898800
244,0.897800
245,0.900700
246,0.899600
247,0.899600
248,0.897500
249,0.899900
250,0.894500
251,0.897400
252,0.891600
253,0.899000
254,0.899400
255,0.898500
256,0.898200
257,0.899500
258,0.898100
259,0.904000
260,0.898000
261,0.900300
262,0.896700
263,0.892300
264,0.887700
265,0.896100
266,0.900800
267,0.899300
268,0.897800
269,0.900700
270,0.892400
271,0.899000
272,0.899300
273,0.894400
274,0.897600
275,0.900900
276,0.898700
277,0.895800
278,0.891900
279,0.894400
280,0.894200
281,0.896800
282,0.893800
283,0.898400
284,0.899100
285,0.892600
286,0.895500
287,0.896900
288,0.897100
289,0.901100
290,0.896500
291,0.895700
292,0.898000
293,0.894200
294,0.894300
295,0.898500
296,0.891900
297,0.900400
298,0.897100
299,0.899000
