epoch,train_loss
0,2.047208
1,1.616905
2,1.483102
3,1.367712
4,1.252644
5,1.162630
6,1.091509
7,1.030711
8,0.976319
9,0.928224
10,0.878506
11,0.829255
12,0.808317
13,0.764960
14,0.751322
15,0.710344
16,0.699549
17,0.662860
18,0.647666
19,0.616219
20,0.594225
21,0.583779
22,0.569179
23,0.559277
24,0.548728
25,0.536608
26,0.523237
27,0.515685
28,0.505337
29,0.499960
30,0.496772
31,0.482053
32,0.475535
33,0.470225
34,0.456085
35,0.452446
36,0.454854
37,0.443185
38,0.439947
39,0.433461
40,0.422236
41,0.425166
42,0.420154
43,0.419812
44,0.400220
45,0.406398
46,0.404689
47,0.396140
48,0.385261
49,0.394439
50,0.382870
51,0.397330
52,0.390684
53,0.380047
54,0.386232
55,0.381555
56,0.375173
57,0.376029
58,0.370170
59,0.362280
60,0.368086
61,0.367300
62,0.356753
63,0.368042
64,0.367022
65,0.360632
66,0.354738
67,0.361438
68,0.351842
69,0.344548
70,0.349741
71,0.348015
72,0.356368
73,0.346601
74,0.342003
75,0.340916
76,0.349470
77,0.346730
78,0.344652
79,0.337927
80,0.327435
81,0.342674
82,0.336153
83,0.338529
84,0.334518
85,0.331665
86,0.347775
87,0.432851
88,0.347210
89,0.333878
90,0.331213
91,0.329042
92,0.324883
93,0.333726
94,0.327455
95,0.323739
96,0.318014
97,0.330548
98,0.315230
99,0.326702
100,0.318367
101,0.319272
102,0.329044
103,0.319017
104,0.320294
105,0.319060
106,0.321316
107,0.311733
108,0.313567
109,0.317956
110,0.318959
111,0.313245
112,0.321782
113,0.316707
114,0.318231
115,0.314068
116,0.313435
117,0.313774
118,0.315176
119,0.307947
120,0.308412
121,0.309605
122,0.311707
123,0.308149
124,0.309710
125,0.312875
126,0.306601
127,0.314807
128,0.302206
129,0.319371
130,0.312658
131,0.303723
132,0.317695
133,0.306483
134,0.317282
135,0.305659
136,0.303494
137,0.309655
138,0.306092
139,0.302060
140,0.303282
141,0.305196
142,0.300231
143,0.311066
144,0.305091
145,0.309184
146,0.302236
147,0.307057
148,0.311061
149,0.303030
150,0.311095
151,0.193493
152,0.141523
153,0.125728
154,0.115860
155,0.103423
156,0.097896
157,0.087636
158,0.079646
159,0.078862
160,0.069415
161,0.067476
162,0.065952
163,0.062001
164,0.059378
165,0.056424
166,0.050588
167,0.048741
168,0.045007
169,0.044166
170,0.043353
171,0.042059
172,0.037806
173,0.038913
174,0.039581
175,0.034727
176,0.034816
177,0.033608
178,0.033879
179,0.031585
180,0.030640
181,0.030078
182,0.030612
183,0.027836
184,0.027008
185,0.028818
186,0.028295
187,0.027088
188,0.026981
189,0.025780
190,0.023783
191,0.025956
192,0.025084
193,0.025377
194,0.023874
195,0.024673
196,0.023936
197,0.024090
198,0.023660
199,0.025065
200,0.026066
201,0.024673
202,0.023571
203,0.024205
204,0.025203
205,0.025156
206,0.024798
207,0.023210
208,0.027384
209,0.023745
210,0.024435
211,0.024157
212,0.026042
213,0.026298
214,0.023946
215,0.026947
216,0.026010
217,0.026836
218,0.024893
219,0.028721
220,0.026595
221,0.028887
222,0.031362
223,0.029734
224,0.029783
225,0.029687
226,0.028098
227,0.032965
228,0.029007
229,0.031561
230,0.032173
231,0.031479
232,0.036038
233,0.032129
234,0.034778
235,0.032676
236,0.033592
237,0.036056
238,0.039588
239,0.037047
240,0.034076
241,0.034340
242,0.033911
243,0.037603
244,0.034333
245,0.037801
246,0.035321
247,0.037393
248,0.035966
249,0.034789
250,0.033628
251,0.035581
252,0.041897
253,0.041150
254,0.036347
255,0.039639
256,0.044468
257,0.039041
258,0.035805
259,0.037999
260,0.035062
261,0.036031
262,0.037945
263,0.036750
264,0.037311
265,0.041560
266,0.042942
267,0.041259
268,0.040058
269,0.040212
270,0.037739
271,0.038339
272,0.037796
273,0.042220
274,0.042760
275,0.041650
276,0.039867
277,0.044060
278,0.041758
279,0.039496
280,0.038968
281,0.042879
282,0.038914
283,0.042102
284,0.039796
285,0.041154
286,0.044218
287,0.043958
288,0.040355
289,0.042457
290,0.039018
291,0.037722
292,0.039529
293,0.040114
294,0.045288
295,0.045904
296,0.042897
297,0.036819
298,0.038793
299,0.042387
